Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume BTC,tradecount
1671580800000,2022-12-21,1INCHBTC,2.394e-05,2.403e-05,2.348e-05,2.371e-05,55314.5,1.31129682,458
1671494400000,2022-12-20,1INCHBTC,2.32e-05,2.402e-05,2.312e-05,2.391e-05,96909.2,2.29191017,820
1671408000000,2022-12-19,1INCHBTC,2.334e-05,2.403e-05,2.303e-05,2.32e-05,176490.4,4.1549407,1183
1671321600000,2022-12-18,1INCHBTC,2.311e-05,2.358e-05,2.293e-05,2.334e-05,58080.0,1.34909846,514
1671235200000,2022-12-17,1INCHBTC,2.311e-05,2.344e-05,2.26e-05,2.325e-05,299608.6,6.88867684,1064
1671148800000,2022-12-16,1INCHBTC,2.438e-05,2.467e-05,2.185e-05,2.313e-05,573823.5,13.36602597,2637
1671062400000,2022-12-15,1INCHBTC,2.423e-05,2.469e-05,2.402e-05,2.443e-05,116899.9,2.85245223,641
1670976000000,2022-12-14,1INCHBTC,2.488e-05,2.498e-05,2.389e-05,2.421e-05,187717.7,4.57354899,936
1670889600000,2022-12-13,1INCHBTC,2.51e-05,2.513e-05,2.438e-05,2.475e-05,281033.9,6.93377317,1366
1670803200000,2022-12-12,1INCHBTC,2.544e-05,2.55e-05,2.446e-05,2.507e-05,272978.3,6.80624712,2450
1670716800000,2022-12-11,1INCHBTC,2.594e-05,2.629e-05,2.534e-05,2.551e-05,172726.5,4.48360142,897
1670630400000,2022-12-10,1INCHBTC,2.573e-05,2.602e-05,2.565e-05,2.593e-05,189188.3,4.88841191,682
1670544000000,2022-12-09,1INCHBTC,2.601e-05,2.614e-05,2.543e-05,2.576e-05,307173.1,7.93889263,1115
1670457600000,2022-12-08,1INCHBTC,2.635e-05,2.635e-05,2.546e-05,2.599e-05,510826.9,13.24662723,1669
1670371200000,2022-12-07,1INCHBTC,2.78e-05,2.784e-05,2.558e-05,2.638e-05,728723.2,19.40846122,3549
1670284800000,2022-12-06,1INCHBTC,2.847e-05,2.872e-05,2.756e-05,2.781e-05,483645.2,13.5424101,3164
1670198400000,2022-12-05,1INCHBTC,2.907e-05,2.909e-05,2.837e-05,2.853e-05,759208.3,21.81363151,2751
1670112000000,2022-12-04,1INCHBTC,2.883e-05,2.923e-05,2.88e-05,2.903e-05,297962.8,8.64155606,1046
1670025600000,2022-12-03,1INCHBTC,2.948e-05,3.489e-05,2.855e-05,2.887e-05,2445347.1,75.29421709,6231
1669939200000,2022-12-02,1INCHBTC,3.003e-05,3.013e-05,2.91e-05,2.948e-05,923332.8,27.29168223,3015
1669852800000,2022-12-01,1INCHBTC,3.072e-05,3.073e-05,2.987e-05,3.006e-05,337163.1,10.16793156,1375
